=== 1-char sequences ===
조 제 : 1012
할 수 : 423
항 제 : 158
될 수 : 137
만 원 : 81
법 제 : 48
볼 수 : 33
회 차 : 33
할 때 : 33
및 그 : 32
둘 수 : 28
개 층 : 27
년 후 : 25
년 차 : 24
한 그 : 23
한 후 : 22
한 자 : 22
이 그 : 20
조 및 : 20
알 수 : 19
은 그 : 16
그 후 : 16
조 및 제 : 15
항 및 : 15
둘 다 : 14
일 때 : 13
만 명 : 13
은 제 : 12
시 산 : 11
합 유 : 11
억 원 : 11
라 함 : 11
년 중 : 11
항 및 제 : 10
더 큰 : 9
의 월 : 9
큰 것 : 9
절 댓 : 8
및 제 : 8
후 그 : 8
후 각 : 8
이 법 : 7
그 중 : 7
그 제 : 6
이 때 : 6
승 역 : 6
이 제 : 6
승 수 : 6
를 한 : 6
일 전 : 6
조 등 : 5
경 우 : 5
두 개 : 5
된 후 : 5
일 후 : 5
등 기 : 5
포 락 지 : 4
한 제 : 4
해 준 : 4
는 그 : 4
은 선 : 4
이 더 : 4
한 뒤 : 4
년 간 : 4
도 및 : 4
공 인 : 4
은 시 : 4
및 시 : 4
인 본 : 4
물 납 : 4
때 그 : 4
령 및 : 4
감 채 : 3
이 한 : 3
전 그 : 3
항 각 : 3
말 연 : 3
될 뿐 : 3
임 료 : 3
타 주 : 3
이 중 : 3
는 두 : 3
한 각 : 3
을 뺀 : 3
시 그 : 3
제 척 : 3
등 그 : 3
층 및 : 3
에 따 른 : 3
토 지 : 3
필 증 : 3
전 및 : 3
다 낸 : 3
및 총 : 3
소 및 : 3
표 제 : 3
및 동 : 3
볼 것 : 3
고 한 : 3
전 각 : 3
일 중 : 3
과 그 : 3
각 시 산 : 2
일 등 : 2
임 장 : 2
및 각 : 2
는 연 : 2
의 다 : 2
바 움 : 2
한 점 : 2
견 련 : 2
둔 채 : 2
은 연 : 2
해 줄 : 2
이 행 지 : 2
의 세 : 2
이 될 수 : 2
는 제 : 2
관 한 : 2
월 임 료 : 2
월 월 : 2
일 시 : 2
과 매 : 2
과 제 : 2
중 시 : 2
그 분 : 2
입 목 : 2
년 내 : 2
를 그 : 2
정 지 : 2
할 때 그 : 2
군 수 : 2
된 자 : 2
할 것 : 2
자 간 : 2
일 간 : 2
군 및 : 2
장 및 : 2
아 니 : 2
등 제 : 2
낸 뒤 : 2
및 인 : 2
둑 및 그 : 2
따 라 : 2
갑 구 : 2
점 및 : 2
도 곽 선 : 2
송 수 관 : 2
